Symbol	BREAST_BT549	BREAST_HS578T	BREAST_MCF7	BREAST_MCF7ADR	BREAST_MDAMB231	BREAST_MDAMB435	BREAST_T47D
SSBP1	3.245991159	3.021242703	3.258545965	3.275027196	3.343811194	3.348186741	3.031787187
SSR1	2.918481812	3.011724464	2.592920372	2.507725562	3.117595947	3.075303749	2.822425363
SSR3	2.922094191	3.465470706	3.023736949	2.973918027	3.135317095	3.128284533	3.261372623
SSR4	3.445535666	3.134052501	3.256877266	3.231196866	3.310974711	3.321250138	3.450282788
ST13	3.228684768	3.389580562	3.253692124	3.195760716	3.051782659	3.002505805	3.259703521
STAM	3.080079628	2.466297447	2.38650393	2.394727234	2.699734553	2.735074973	2.503022705
STAT1	3.368405773	3.43898743	2.656187898	2.664518139	2.732304478	2.718770649	2.90453819
STIP1	2.899889617	2.884010923	2.808217816	2.744145677	2.946512966	2.999404235	2.912485872
STMN1	2.941452641	2.131549029	2.289532364	2.273579833	2.804910833	2.847543272	2.08810931
STMN2	0.869643635	0.797473724	0.683695418	0.685252424	0.677319032	0.797918245	0.77109961
STOML2	3.094789685	2.7130285	2.740012939	2.60575149	2.903672866	2.919699671	2.679270082
STT3A	2.977023748	2.915987157	2.554717481	2.664768774	2.921948546	3.006692039	3.23404612
STT3B	3.119952256	3.061399512	3.001874697	3.040430457	3.150529013	3.158510725	3.075742588
STUB1	2.673961684	2.879476523	2.838730416	2.76242469	2.754468506	2.75102461	2.664688158
STX12	2.564095854	2.359391584	2.153723282	2.239017741	2.110655513	2.068950194	2.063924047
STX4	2.747163386	2.61220501	2.618579891	2.554447444	2.568331322	2.580637037	2.472599184
STX5	1.934219212	2.084824602	1.878448695	1.881947447	2.003377272	2.028329336	2.119608084
STX7	2.344019333	2.056981774	2.05104129	2.073924386	2.349040448	2.315070063	1.980251562
SUB1 	3.414998239	3.142900527	3.095728817	3.135635935	3.247795712	3.231166221	3.094235236
SUCLA2	2.674407804	2.594174922	2.513630158	2.644509494	2.572456742	2.552633377	2.674738116
SUCLG1	2.770536767	2.846780223	3.054334632	2.998943968	2.861116261	2.850005337	2.829257422
SUCLG2	2.459329715	2.622941597	2.523617167	2.444919818	2.700864586	2.707655108	2.613167729
SUGT1	2.264496734	2.004625744	1.915010729	1.95431063	2.140856684	2.139565145	1.956504485
SUMO1	2.94104298	2.88378826	2.93290125	2.979428392	3.055032598	3.045417379	2.81722739
SUPT4H1	2.218034269	2.354408759	2.670502434	2.749906088	2.630085726	2.631548306	2.521077459
SUPT5H	2.353073643	2.396774591	2.28273713	2.275720591	2.307990362	2.274356527	2.099983626
SURF4	2.85469797	2.796358834	2.738985633	2.730965609	2.997862247	3.014438676	2.945820343
SYMPK	1.908781464	1.970241421	1.98536319	1.892544547	2.005235883	1.978834471	1.906364673
SYNCRIP	2.568755445	1.777345803	2.304995468	2.262931896	2.210682829	2.138319791	2.027490034
SYNGR2	2.285485801	2.380622374	3.05444624	2.985407473	2.848466374	2.869541798	3.262538422
SYNJ2BP	2.056721922	1.872947947	2.364834903	2.182110951	1.933030623	1.971205005	2.493622369
